"station","mm","dd","wday","mem","holiday","dur","avg","rev","n_AM","n_PM","n_tot","temp","rain"
10,"4",24,"Saturday",1,0,917.883333333333,29.6091397849462,NA,3,28,31,14.1,0
10,"5",24,"Monday",1,1,1123.41666666667,26.1259689922481,NA,2,39,43,14.4,0
10,"6",3,"Thursday",1,0,115.033333333333,16.4333333333333,NA,2,3,7,17.5,6.3
10,"6",18,"Friday",0,0,56.6833333333333,28.3416666666667,11.0025,1,1,2,21.2,4.8
10,"7",21,"Wednesday",1,0,285.683333333333,16.8049019607843,NA,5,10,17,20,1.5
10,"7",22,"Thursday",1,0,382.483333333333,18.2134920634921,NA,3,15,21,19.6,0
10,"7",28,"Wednesday",0,0,90.1166666666667,30.0388888888889,17.2675,0,3,3,19.2,0
10,"8",18,"Wednesday",0,0,67.8333333333333,16.9583333333333,15.175,0,2,4,25.4,0
10,"8",20,"Friday",1,0,260.25,18.5892857142857,NA,5,6,14,25.9,0
10,"8",22,"Sunday",1,0,300.483333333333,23.1141025641026,NA,2,10,13,28.2,0
10,"10",21,"Thursday",1,0,90.3666666666667,11.2958333333333,NA,3,3,8,11.7,5.8
10,"10",24,"Sunday",0,0,67.45,22.4833333333333,13.8675,1,2,3,7.3,0
10,"11",1,"Monday",0,0,29.6666666666667,14.8333333333333,6.95,1,1,2,8,0
10,"11",6,"Saturday",1,0,219.833333333333,19.9848484848485,NA,4,4,11,5.5,0
13,"4",9,"Friday",0,0,216.733333333333,36.1222222222222,40.01,0,6,6,15.9,0
13,"5",10,"Monday",0,0,93.3166666666667,18.6633333333333,20.2475,1,3,5,11.4,0
13,"6",4,"Friday",1,0,795.116666666667,15.2907051282051,NA,10,24,52,22,0
13,"6",13,"Sunday",1,0,1103.7,22.5244897959184,NA,6,32,49,21.6,2.8
13,"6",22,"Tuesday",1,0,378.416666666667,10.8119047619048,NA,5,18,35,15.5,0.2
13,"6",26,"Saturday",0,0,39.1,13.0333333333333,9.615,0,1,3,21.4,20.8
13,"7",3,"Saturday",0,0,304.366666666667,20.2911111111111,64.405,2,6,15,16.5,0
13,"8",7,"Saturday",1,0,737.016666666667,16.0221014492754,NA,4,27,46,23.6,0.8
13,"8",28,"Saturday",0,0,90.3833333333333,12.9119047619048,22.3075,0,4,7,18.9,0
13,"9",4,"Saturday",1,0,646.45,16.575641025641,NA,5,31,39,19,0
13,"9",19,"Sunday",1,0,661.55,20.0469696969697,NA,2,25,33,15.4,0
13,"10",8,"Friday",1,0,391.966666666667,14.5172839506173,NA,3,17,27,15.4,0
13,"11",5,"Friday",0,0,35.2666666666667,8.81666666666667,10.29,1,2,4,3.5,0
17,"5",15,"Saturday",1,0,106.083333333333,17.6805555555556,NA,2,3,6,17.7,0.2
17,"6",21,"Monday",1,0,148.65,21.2357142857143,NA,2,4,7,24.1,2.9
17,"6",22,"Tuesday",1,0,247.5,20.625,NA,6,5,12,15.5,0.2
17,"6",26,"Saturday",0,0,13.9666666666667,13.9666666666667,3.345,0,0,1,21.4,20.8
17,"7",14,"Wednesday",0,0,23.1166666666667,11.5583333333333,5.9675,1,0,2,24.2,0
17,"7",18,"Sunday",0,0,65.9,32.95,12.385,0,0,2,21.8,0
17,"7",27,"Tuesday",0,0,18.5,9.25,5.275,0,1,2,19,1.4
17,"8",6,"Friday",1,0,210.416666666667,21.0416666666667,NA,1,6,10,25.1,0.2
17,"9",4,"Saturday",0,0,35.2,17.6,7.78,0,2,2,19,0
17,"10",31,"Sunday",0,0,19.05,19.05,4.1075,1,0,1,9.6,37
17,"11",7,"Sunday",1,0,75.6,37.8,NA,2,0,2,6.9,0
21,"4",20,"Tuesday",1,0,200.866666666667,10.5719298245614,NA,5,14,19,7.7,0.4
21,"6",9,"Wednesday",0,0,167.2,11.9428571428571,42.58,3,7,14,24.1,0
21,"6",24,"Thursday",0,1,227.416666666667,25.2685185185185,45.3625,3,3,9,20.4,0
21,"7",1,"Thursday",0,1,133.116666666667,12.1015151515152,33.7175,2,6,11,20.6,0
21,"7",14,"Wednesday",1,0,602,11.1481481481481,NA,11,37,54,24.2,0
