"","name","latitude","longitude","station","mm","dd","wday","mem","holiday","dur","avg","rev","n_AM","n_PM","n_tot","temp","rain","arrond","rain_bin","wkend","superficie","population_2021","density"
"1","10e avenue / Holt",45.5519116,-73.5792112,868,"4","28","Wednesday","0",0,70.6666666666667,35.3333333333333,13.1,1,1,2,12.8,4.3,"Rosemont-La Petite-Patrie",1,0,15.9,141813,8919.05660377358
"2","10e avenue / Holt",45.5519116,-73.5792112,868,"5","5","Wednesday","1",0,180.233333333333,16.3848484848485,NA,5,5,11,10.7,0.8,"Rosemont-La Petite-Patrie",1,0,15.9,141813,8919.05660377358
"3","10e avenue / Holt",45.5519116,-73.5792112,868,"5","28","Friday","1",0,343.916666666667,17.1958333333333,NA,7,11,20,7.8,0,"Rosemont-La Petite-Patrie",0,0,15.9,141813,8919.05660377358
"4","10e avenue / Holt",45.5519116,-73.5792112,868,"6","17","Thursday","0",0,51.95,17.3166666666667,11.5425,2,1,3,18.2,0,"Rosemont-La Petite-Patrie",0,0,15.9,141813,8919.05660377358
"5","10e avenue / Holt",45.5519116,-73.5792112,868,"6","18","Friday","1",0,273.933333333333,13.6966666666667,NA,9,9,20,21.2,4.8,"Rosemont-La Petite-Patrie",1,0,15.9,141813,8919.05660377358
"6","10e avenue / Holt",45.5519116,-73.5792112,868,"6","19","Saturday","1",0,301.233333333333,15.0616666666667,NA,6,8,20,20.7,1.9,"Rosemont-La Petite-Patrie",1,1,15.9,141813,8919.05660377358
"7","10e avenue / Holt",45.5519116,-73.5792112,868,"6","28","Monday","0",0,32.3166666666667,8.07916666666667,9.8475,1,2,4,27,2.3,"Rosemont-La Petite-Patrie",1,0,15.9,141813,8919.05660377358
"8","10e avenue / Holt",45.5519116,-73.5792112,868,"7","1","Thursday","0",1,141.083333333333,17.6354166666667,31.1625,6,1,8,20.6,0,"Rosemont-La Petite-Patrie",0,0,15.9,141813,8919.05660377358
"9","10e avenue / Holt",45.5519116,-73.5792112,868,"7","29","Thursday","0",0,86.3166666666667,12.3309523809524,21.6975,5,1,7,17.7,0.7,"Rosemont-La Petite-Patrie",1,0,15.9,141813,8919.05660377358
"10","10e avenue / Holt",45.5519116,-73.5792112,868,"8","8","Sunday","0",0,76.3,9.5375,21.445,1,2,8,24,0,"Rosemont-La Petite-Patrie",0,1,15.9,141813,8919.05660377358
