"STATIONNAME","STATIONARRONDISSEMENT","STATIONLATITUDE","STATIONLONGITUDE"
"St-Urbain / René-Lévesque","Ville-Marie",45.507838,-73.563136
"Roy / St-Laurent","Le Plateau-Mont-Royal",45.515616,-73.575808
"Lajeunesse / Villeray","Villeray - Saint-Michel - Parc-Extension",45.542119,-73.622547
"Parc Plage","Ville-Marie",45.502828,-73.527793
"Marie-Anne / de la Roche","Le Plateau-Mont-Royal",45.527758,-73.576185
"2e avenue / Jean-Rivard","Villeray - Saint-Michel - Parc-Extension",45.562509,-73.61656
"Métro Atwater (Atwater / Ste-Catherine)","Ville-Marie",45.489476,-73.584566
"Place d'Youville / McGill","Ville-Marie",45.4999647,-73.5561544
"de Bleury / de Maisonneuve","Ville-Marie",45.5070965,-73.5684416
"Grand Boulevard / de Terrebonne","Côte-des-Neiges - Notre-Dame-de-Grâce",45.470544,-73.63168
"Métro Mont-Royal (Rivard / du Mont-Royal)","Le Plateau-Mont-Royal",45.524673,-73.58255
"Metcalfe / de Maisonneuve","Ville-Marie",45.501715,-73.57413
"de la Commune / St-Sulpice","Ville-Marie",45.504242,-73.55347
"Gary-Carter / St-Laurent","Villeray - Saint-Michel - Parc-Extension",45.5359,-73.622443
"de Lanaudière / Marie-Anne","Le Plateau-Mont-Royal",45.529326,-73.574806
"Marché Maisonneuve","Mercier - Hochelaga-Maisonneuve",45.553219,-73.539782
"Clark / Prince-Arthur","Le Plateau-Mont-Royal",45.513303,-73.572961
"Parthenais / du Mont-Royal","Le Plateau-Mont-Royal",45.536346,-73.57131
"du Havre / de Rouen","Ville-Marie",45.534563,-73.554787
"Boyer / Bélanger","Rosemont - La Petite-Patrie",45.54006,-73.60897
"University / Prince-Arthur","Le Plateau-Mont-Royal",45.507402,-73.578444
"Quai de la navette fluviale","Ville-Marie",45.513741,-73.538382
"Park Row O / Sherbrooke","Côte-des-Neiges - Notre-Dame-de-Grâce",45.460729,-73.634073
"Swail / Decelles","Côte-des-Neiges - Notre-Dame-de-Grâce",45.497055,-73.618652
"Terminus Newman (Airlie / Lafleur)","LaSalle",45.4250597,-73.6495992
"Messier / du Mont-Royal","Le Plateau-Mont-Royal",45.537114,-73.571003
"Métro Lionel-Groulx (St-Jacques / Atwater)","Le Sud-Ouest",45.4836285,-73.5797026
"Villeneuve / St-Laurent","Le Plateau-Mont-Royal",45.521342,-73.589419
"Prince-Arthur / St-Urbain","Le Plateau-Mont-Royal",45.512587,-73.573739
