"","name","arrond","station","mm","dd","wday","mem","holiday","dur","avg","rev","n_AM","n_PM","n_tot","temp","rain"
"1","St-Urbain / René-Lévesque","Ville-Marie",625,5,2,"Sunday",1,0,244.283333333333,14.3696078431373,NA,2,14,17,10,0
"2","St-Urbain / René-Lévesque","Ville-Marie",625,5,28,"Friday",0,0,84.45,14.075,20.1675,2,2,6,7.8,0
"3","St-Urbain / René-Lévesque","Ville-Marie",625,5,28,"Friday",1,0,337,12.0357142857143,NA,6,14,28,7.8,0
"4","St-Urbain / René-Lévesque","Ville-Marie",625,6,3,"Thursday",1,0,227.85,12.6583333333333,NA,2,14,18,17.5,6.3
"5","St-Urbain / René-Lévesque","Ville-Marie",625,6,14,"Monday",0,0,102.05,17.0083333333333,22.8075,0,6,6,20.6,7.8
"6","St-Urbain / René-Lévesque","Ville-Marie",625,6,25,"Friday",1,0,637.283333333333,15.9320833333333,NA,2,24,40,22.2,0
"7","St-Urbain / René-Lévesque","Ville-Marie",625,7,2,"Friday",0,0,312.716666666667,17.3731481481481,69.4075,3,7,18,17.6,0
"8","St-Urbain / René-Lévesque","Ville-Marie",625,7,24,"Saturday",0,0,726.183333333333,22.0055555555556,150.1775,1,17,33,21.9,0.6
"9","St-Urbain / René-Lévesque","Ville-Marie",625,8,3,"Tuesday",0,0,171.266666666667,24.4666666666667,34.44,1,0,7,21.5,0.2
"10","St-Urbain / René-Lévesque","Ville-Marie",625,8,8,"Sunday",1,0,479.95,17.1410714285714,NA,4,20,28,24,0
"11","St-Urbain / René-Lévesque","Ville-Marie",625,8,12,"Thursday",0,0,106.433333333333,13.3041666666667,25.965,0,4,8,26.9,0
"12","St-Urbain / René-Lévesque","Ville-Marie",625,8,12,"Thursday",1,0,777.45,13.8830357142857,NA,8,37,56,26.9,0
"13","St-Urbain / René-Lévesque","Ville-Marie",625,9,4,"Saturday",0,0,540.65,21.626,112.3475,5,11,25,19,0
"14","Roy / St-Laurent","Le Plateau-Mont-Royal",334,5,19,"Wednesday",0,0,154.383333333333,12.8652777777778,38.1575,4,6,12,19.2,0
"15","Roy / St-Laurent","Le Plateau-Mont-Royal",334,5,19,"Wednesday",1,0,785.033333333333,12.0774358974359,NA,16,40,65,19.2,0
"16","Roy / St-Laurent","Le Plateau-Mont-Royal",334,6,14,"Monday",1,0,802.583333333333,9.12026515151515,NA,18,61,88,20.6,7.8
"17","Lajeunesse / Villeray","Villeray - Saint-Michel - Parc-Extension",665,4,23,"Friday",1,0,244.516666666667,13.5842592592593,NA,7,11,18,8.3,0
"18","Lajeunesse / Villeray","Villeray - Saint-Michel - Parc-Extension",665,5,2,"Sunday",0,0,23.3833333333333,11.6916666666667,6.0075,0,2,2,10,0
"19","Lajeunesse / Villeray","Villeray - Saint-Michel - Parc-Extension",665,5,24,"Monday",0,1,161.3,26.8833333333333,31.695,1,5,6,14.4,0
"20","Lajeunesse / Villeray","Villeray - Saint-Michel - Parc-Extension",665,6,8,"Tuesday",1,0,359.166666666667,11.5860215053763,NA,10,18,31,26.3,0
"21","Lajeunesse / Villeray","Villeray - Saint-Michel - Parc-Extension",665,7,2,"Friday",0,0,190.033333333333,15.8361111111111,43.505,1,4,12,17.6,0
"22","Lajeunesse / Villeray","Villeray - Saint-Michel - Parc-Extension",665,8,4,"Wednesday",0,0,72.2,14.44,17.08,1,3,5,21.1,0.2
"23","Lajeunesse / Villeray","Villeray - Saint-Michel - Parc-Extension",665,8,8,"Sunday",0,0,133.933333333333,13.3933333333333,32.59,1,5,10,24,0
"24","Lajeunesse / Villeray","Villeray - Saint-Michel - Parc-Extension",665,8,16,"Monday",1,0,457.8,12.0473684210526,NA,14,17,38,19.5,0
"25","Lajeunesse / Villeray","Villeray - Saint-Michel - Parc-Extension",665,8,30,"Monday",1,0,385.083333333333,11.6691919191919,NA,5,21,33,24.8,5.3
"26","Lajeunesse / Villeray","Villeray - Saint-Michel - Parc-Extension",665,9,10,"Friday",0,0,182.35,14.0269230769231,43.6025,2,8,13,17.1,0.3
"27","Lajeunesse / Villeray","Villeray - Saint-Michel - Parc-Extension",665,10,10,"Sunday",0,0,52.9166666666667,13.2291666666667,12.9375,0,1,4,16.2,0
"28","Lajeunesse / Villeray","Villeray - Saint-Michel - Parc-Extension",665,10,14,"Thursday",1,0,842.533333333333,14.7812865497076,NA,17,29,57,18.3,0
"29","Lajeunesse / Villeray","Villeray - Saint-Michel - Parc-Extension",665,10,22,"Friday",0,0,112.816666666667,12.5351851851852,28.1725,2,4,9,8.7,13.8
"30","Lajeunesse / Villeray","Villeray - Saint-Michel - Parc-Extension",665,10,30,"Saturday",0,0,200.783333333333,15.4448717948718,46.3675,1,6,13,8.2,11.6
"31","Lajeunesse / Villeray","Villeray - Saint-Michel - Parc-Extension",665,11,2,"Tuesday",1,0,217.533333333333,12.7960784313725,NA,9,7,17,5.4,4
"32","Parc Plage","Ville-Marie",515,7,6,"Tuesday",0,0,8.5,8.5,2.525,1,0,1,23.1,1.2
"33","Parc Plage","Ville-Marie",515,7,14,"Wednesday",0,0,34.3666666666667,11.4555555555556,8.905,0,0,3,24.2,0
