NOM,ADRESSE,ARRONDISSEMENT,DISTRICT,TELEPHONE,Catégorie
Aréna Cynthia-Coull,"195, rue Empire Greenfield Park QC CA J4V1T9",Arrondissement de Greenfield Park,District 10 - Greenfield Park,450 463-7311,Tourisme
Aréna Émile-Butch-Bouchard,"200, rue De Gentilly Est Longueuil QC CA J4H4A4",Arrondissement du Vieux-Longueuil,District 04 - Vieux-Longueuil,450 463-7311,Tourisme
Aréna Jacques-Cartier,"1143, rue De Lorimier Longueuil QC CA J4K3M9",Arrondissement du Vieux-Longueuil,District 07 - Vieux-Longueuil,450 463-7311,Tourisme
Base de Plein Air Jean-Jeune,"150, rue Grant Longueuil QC CA J4H3H6",Arrondissement du Vieux-Longueuil,District 08 - Vieux-Longueuil,450 679-5017,Tourisme
Bibliothèque Claude-Henri-Grignon,"1660, rue Bourassa Longueuil QC CA J4J3A4",Arrondissement du Vieux-Longueuil,District 07 - Vieux-Longueuil,450 463-7180,
Bibliothèque Fatima,"45, rue Hémond Longueuil QC CA J4G1K2",Arrondissement du Vieux-Longueuil,District 01 - Vieux-Longueuil,450 646-6712,
Bibliothèque Georges-Dor,"2760, chemin de Chambly Longueuil QC CA J4L1M6",Arrondissement du Vieux-Longueuil,District 05 - Vieux-Longueuil,450 463-7180,
Bibliothèque Hubert-Perron,"1100, rue Beauregard Longueuil QC CA J4K2L1",Arrondissement du Vieux-Longueuil,District 09 - Vieux-Longueuil,450 674-4175,
Bibliothèque Joseph-De-Sérigny,"1000, chemin du Lac Longueuil QC CA J4J1W3",Arrondissement du Vieux-Longueuil,District 03 - Vieux-Longueuil,,
Bibliothèque Muriel-Anne-Brown (GPK),"225, rue Empire Greenfield Park QC CA J4V1T9",Arrondissement de Greenfield Park,District 10 - Greenfield Park,450 463-7180,
Bibliothèque Raymond-Lévesque,"7025, boulevard Cousineau Saint-Hubert QC CA J3Y0H1",Arrondissement de Saint-Hubert,District 15 - Saint-Hubert,450 463-7180,
Bibliothèque Saint-Jean-Baptiste,"700, rue Duvernay Longueuil QC CA J4K4L1",Arrondissement du Vieux-Longueuil,District 07 - Vieux-Longueuil,450 646-6713,
Bureau d'arrondissement (Greenfield Park),"156, boulevard Churchill Greenfield Park QC CA J4V2M3",Arrondissement de Greenfield Park,District 10 - Greenfield Park,450 463-7311,
Carré Isidore-Hurteau,"100, rue Saint-Laurent Ouest Longueuil QC CA J4H1M1",Arrondissement du Vieux-Longueuil,District 08 - Vieux-Longueuil,450 463-7311,Tourisme
Centre communautaire des aînés et aînées de Longueuil,"300, rue Lamarre #122 Longueuil QC CA J4J0A1",Arrondissement du Vieux-Longueuil,District 04 - Vieux-Longueuil,450 677-6677,
Centre communautaire Le Trait d'Union,"3100, rue Mousseau Longueuil QC CA J4L4P1",Arrondissement du Vieux-Longueuil,District 05 - Vieux-Longueuil,450 647-1107,
