ID,Famille,Catégorie,Nom français,Nom court,Type,Numéro,rue,Étage,Bureau,Ville,Code postal,Arrondissement,Classification,Longitude,Latitude
1,Culturel,Établissement culturel,Maison du Meunier,,Musée et centre d'interprétation / d'exposition,10897,Rue du Pont,0, ,Montréal,H2B 1Z4,Ahuntsic-Cartierville,niveau 3,-73.661101796,45.5748620350001
2,Culturel,Établissement culturel,Maison du Pressoir,,Musée et centre d'interprétation / d'exposition,10865,Rue du Pressoir,0, ,Montréal,H2B 2L1,Ahuntsic-Cartierville,niveau 3,-73.659552678,45.5759696870001
3,Commercial,Regroupement de commerces,Marché Central,,Centre commercial,9187,Boulevard de l'Acadie,0, ,Montréal,H4N 3K1,Ahuntsic-Cartierville,niveau 1,-73.654955924,45.534023017
4,Culturel,Établissement culturel,Musée des Sœurs de la Providence,,Musée et centre d'interprétation / d'exposition,12055 ,Rue Grenet,0, ,Montréal,H4J 2J5,Ahuntsic-Cartierville,niveau 3,-73.713635042,45.529374234
5,Récréatif / sportif,Parc et autre espace vert,Parc Ahuntsic,,Parc, , ,0, ,Montréal,H3L 2E5,Ahuntsic-Cartierville,niveau 2,-73.6647101469999,45.555801382
6,Récréatif / sportif,Parc et autre espace vert,Parc Alice-Nolin,,Parc, , ,0, ,Montréal, ,Ahuntsic-Cartierville,niveau 3,-73.670157532,45.5337066550001
7,Récréatif / sportif,Parc et autre espace vert,Parc Avila-Vidal,,Parc, , ,0, ,Montréal, ,Ahuntsic-Cartierville,niveau 2,-73.695670226,45.529510487
8,Récréatif / sportif,Parc et autre espace vert,Parc Basile-Routhier,,Parc, , ,0, ,Montréal,H2C 1A5,Ahuntsic-Cartierville,niveau 2,-73.672148807,45.5578040980001
9,Récréatif / sportif,Parc et autre espace vert,Parc Beau-Bois,,Parc, , ,0, ,Montréal, ,Ahuntsic-Cartierville,niveau 4,-73.7329016699999,45.5179328780001
10,Récréatif / sportif,Parc et autre espace vert,Parc Belmont,,Parc, , ,0, ,Montréal,H4J 2L9,Ahuntsic-Cartierville,niveau 2,-73.725539308,45.5333557000001
11,Récréatif / sportif,Parc et autre espace vert,Parc Berthe-Louard,,Parc, , ,0, ,Montréal,H2M 2A7,Ahuntsic-Cartierville,niveau 2,-73.64231168,45.559207439
12,Récréatif / sportif,Parc et autre espace vert,Parc Camille,,Parc, , ,0, ,Montréal,H4K 1C8,Ahuntsic-Cartierville,niveau 3,-73.7527533539999,45.510433182
13,Récréatif / sportif,Parc et autre espace vert,Parc d'Auteuil,,Parc, , ,0, ,Montréal,H3L 1H4,Ahuntsic-Cartierville,niveau 2,-73.6568060929999,45.5488738920001
14,Récréatif / sportif,Parc et autre espace vert,Parc de Beauséjour,,Parc, , ,0, ,Montréal, ,Ahuntsic-Cartierville,niveau 2,-73.731978516,45.5277061320001
15,Récréatif / sportif,Parc et autre espace vert,Parc de Bordeaux,,Parc, , ,0, ,Montréal, ,Ahuntsic-Cartierville,niveau 2,-73.699797732,45.5418853640001
16,Récréatif / sportif,Parc et autre espace vert,Parc de la Merci,,Parc, , ,0, ,Montréal, ,Ahuntsic-Cartierville,niveau 2,-73.693793398,45.5470580940001
17,Récréatif / sportif,Parc et autre espace vert,Parc de Louisbourg,,Parc, , ,0, ,Montréal, ,Ahuntsic-Cartierville,niveau 2,-73.708060364,45.5285148500001
18,Récréatif / sportif,Parc et autre espace vert,Parc de Mésy,,Parc, , ,0, ,Montréal,H4J 2P4,Ahuntsic-Cartierville,niveau 2,-73.717141548,45.5295890610001
19,Récréatif / sportif,Parc et autre espace vert,Parc de Salaberry,,Parc, , ,0, ,Montréal, ,Ahuntsic-Cartierville,niveau 2,-73.694830995,45.539249408
20,Récréatif / sportif,Parc et autre espace vert,Parc des Bateliers,,Parc, , ,0, ,Montréal,H3M 1A8,Ahuntsic-Cartierville,niveau 4,-73.703246217,45.5443420290001
21,Récréatif / sportif,Parc et autre espace vert,Parc des Hirondelles,,Parc, , ,0, ,Montréal,H2B 1L5,Ahuntsic-Cartierville,niveau 2,-73.6432667839999,45.575725617
22,Récréatif / sportif,Parc et autre espace vert,Parc François-Albert-Angers,,Parc, , ,0, ,Montréal,H2M 2K5,Ahuntsic-Cartierville,niveau 4,-73.642012698,45.5555381680001
23,Récréatif / sportif,Parc et autre espace vert,Parc Gabriel-Lalemant,,Parc, , ,0, ,Montréal, ,Ahuntsic-Cartierville,niveau 2,-73.642640013,45.5703216200001
24,Récréatif / sportif,Parc et autre espace vert,Parc Henri-Julien,,Parc, , ,0, ,Montréal,H2M 1P1,Ahuntsic-Cartierville,niveau 2,-73.649886233,45.5475082310001
25,Récréatif / sportif,Parc et autre espace vert,Parc Île Perry,,Parc, , ,0, ,Montréal, ,Ahuntsic-Cartierville,niveau 4,-73.697699648,45.5476035950001
26,Récréatif / sportif,Parc et autre espace vert,Parc J.-J.-Gagnier,,Parc, , ,0, ,Montréal, ,Ahuntsic-Cartierville,niveau 2,-73.648970709,45.5802154460001
27,Récréatif / sportif,Parc et autre espace vert,Parc Jean-Martucci,,Parc, , ,0, ,Montréal, ,Ahuntsic-Cartierville,niveau 2,-73.635336464,45.556079207
28,Récréatif / sportif,Parc et autre espace vert,Parc Jeanne-Sauvé,,Parc, , ,0, ,Montréal,H2C 3H5,Ahuntsic-Cartierville,niveau 2,-73.672116001,45.5567740820001
29,Récréatif / sportif,Parc et autre espace vert,Parc Lefebvre,,Parc, , ,0, ,Montréal, ,Ahuntsic-Cartierville,niveau 2,-73.722540954,45.5273933280001
