"id-lieu","id-civ","nom-commun","id-dict","categorie-id","type-commun","type-commun-id","no-civique","voie","type-voie","lien-voie","nom-voie","code-postal","secteur-amena","district-electoral","id-district-electoral","ex-ville","id-ex-ville","coord-x","coord-y","latitude","longitude"
"243","144683","Parc des Nénuphars","8196","Lieu public - Ville de Laval","Parc","12","975","Chemin du Bord-de-l'Eau","Chemin","du","Bord-de-l'Eau","H7Y 1A4","4","Laval-les-Îles","17","Sainte-Dorothée","DO","278799.1685","5042398.7817","45.5210224675","-73.8328270341"
"244","119112","Parc des Orioles","7628","Lieu public - Ville de Laval","Parc","12","4225","Boulevard Le Corbusier","Boulevard","","Le Corbusier","","5","Fabreville","20","Sainte-Rose","RO","284443.10","5050651.10","45.5954665349","-73.7609254707"
"245","114278","Parc des Peupliers","2564","Lieu public - Ville de Laval","Parc","12","190","Rue Perrier","Rue","","Perrier","","6","Auteuil","10","Auteuil","AU","285730.9001","5053569.3003","45.6217615384","-73.7445332654"
"246","128896","Parc des Pivoines","7855","Lieu public - Ville de Laval","Parc","12","660","Rue des Pivoines","Rue","des","Pivoines","H7X 3V6","4","Sainte-Dorothée","16","Sainte-Dorothée","DO","279527.70","5043929.6002","45.5348239411","-73.8235804936"
"247","131882","Parc des Prairies","2570","Lieu public - Ville de Laval","Parc","12","5","Avenue du Crochet","Avenue","du","Crochet","","2","Marigot","5","Laval-des-Rapides","LR","289255.80","5045835.8938","45.5522622796","-73.6990857543"
"248","143769","Parc des Roseaux","8180","Lieu public - Ville de Laval","Parc","12","385","Rue des Roseaux","Rue","des","Roseaux","H7X 4H2","4","Sainte-Dorothée","16","Sainte-Dorothée","DO","283160.1828","5042084.1089","45.5183399548","-73.7769901314"
"249","933","Parc des Saules","2580","Lieu public - Ville de Laval","Parc","12","100","Rue Saint-Saëns Ouest","Rue","","Saint-Saëns Ouest","H7H 1J1","6","Auteuil","10","Auteuil","AU","284873.20","5055237.50","45.6367481623","-73.7556001219"
"250","128872","Parc des Terrasses","7834","Lieu public - Ville de Laval","Parc","12","45","Avenue des Terrasses","Avenue","des","Terrasses","","5","Sainte-Rose","21","Sainte-Rose","RO","283342.40","5053945.50","45.6250769678","-73.7751785037"
"251","114293","Parc des Tilleuls","2596","Lieu public - Ville de Laval","Parc","12","7415","Avenue des Tilleuls","Avenue","des","Tilleuls","","1","Saint-Vincent-de-Paul","2","Duvernay","DU","296422.80","5057034.50","45.6531533064","-73.6074853110"
"252","114391","Parc des Tisserands","5455","Lieu public - Ville de Laval","Parc","12","5160","Rang du Bas-Saint-François","Rang","du","Bas-Saint-François","H7E 4P2","1","Saint-Vincent-de-Paul","2","Duvernay","DU","291626.5699","5055601.9236","45.6401882775","-73.6689852993"
"253","143354","Parc des Trembles","8153","Lieu public - Ville de Laval","Parc","12","7578","Avenue des Trembles","Avenue","des","Trembles","","1","Saint-Vincent-de-Paul","2","Duvernay","DU","295915.5232","5057129.5514","45.6540022865","-73.6139957483"
"254","114320","Parc de Venise","7483","Lieu public - Ville de Laval","Parc","12","2","Rue de Venise","Rue","de","Venise","","5","Sainte-Rose","21","Sainte-Rose","RO","282926.90","5054377.70","45.6289529988","-73.7805263306"
"255","677","Parc Dollard-Des Ormeaux","2503","Lieu public - Ville de Laval","Parc","12","1465","Rue Sérigny","Rue","","Sérigny","H7E 1N8","1","Val-des-Arbres","3","Duvernay","DU","291194.40","5050630.50","45.5954460447","-73.6743903129"
"256","85438","Parc Dora","2504","Lieu public - Ville de Laval","Parc","12","55","Rue Claude","Rue","","Claude","H7A 4A9","1","Saint-François","1","Saint-François","FR","297494.4406","5060751.1871","45.6866087391","-73.5937912761"
"257","143335","Parc du Calvaire-Sauriol","8133","Lieu public - Ville de Laval","Parc","12","360","Rue Marineau","Rue","","Marineau","","4","Sainte-Dorothée","16","Sainte-Dorothée","DO","282009.5663","5042018.0899","45.5177092353","-73.7917147906"
"258","16172","Parc du Centre-Communautaire-Montrougeau","7829","Lieu public - Ville de Laval","Parc","12","727","Montée Montrougeau","Montée","","Montrougeau","H7P 3M1","5","Marc-Aurèle-Fortin","19","Fabreville","FA","280287","5049013.60","45.5805979555","-73.8141135336"
"259","114314","Parc du Crochet","2501","Lieu public - Ville de Laval","Parc","12","98","Avenue du Crochet","Avenue","du","Crochet","","2","Marigot","5","Laval-des-Rapides","LR","288949.5992","5046033.5013","45.5540335081","-73.7030138657"
"260","114302","Parc du Faubourg","5648","Lieu public - Ville de Laval","Parc","12","745","Rue Ovide","Rue","","Ovide","","4","L'Orée-des-bois","18","Fabreville","FA","279100.20","5047590.70","45.5677516328","-73.8292463066"
"261","113130","Parc Dumas","2506","Lieu public - Ville de Laval","Parc","12","1774","Rue de Berne","Rue","de","Berne","","6","Vimont","8","Vimont","VI","287063.7999","5051038.30","45.5990224258","-73.7273488888"
"262","817","Parc du Moulin","2552","Lieu public - Ville de Laval","Parc","12","1125","Montée du Moulin","Montée","du","Moulin","H7A 2A2","1","Saint-François","1","Saint-François","FR","298630.7163","5059361.2719","45.6741131304","-73.5791857502"
"263","143336","Parc du Moulin-Desbiens","8137","Lieu public - Ville de Laval","Parc","12","511","Terrasse Brissette","Terrasse","","Brissette","H7J 0A1","6","Auteuil","10","Auteuil","AU","285536.8221","5058148.3747","45.6629592726","-73.7472031485"
"264","148738","Parc Durocher","8304","Lieu public - Ville de Laval","Parc","12","1012","Rue du Lac-de-Mai","Rue","du","Lac-de-Mai","H7P 3M2","5","Marc-Aurèle-Fortin","19","Fabreville","FA","279942.1089","5049412.4713","45.5841748280","-73.8185532526"
"265","128875","Parc du Royal-22e-Régiment","7836","Lieu public - Ville de Laval","Parc","12","3325","Avenue des Ambassadeurs","Avenue","des","Ambassadeurs","","1","Val-des-Arbres","3","Duvernay","DU","290658.30","5053625.20","45.6223823109","-73.6813485779"
"266","915","Parc du Sablon","2578","Lieu public - Ville de Laval","Parc","12","4919","4e Rue","Rue","","4e ","","3","Chomedey","14","Chomedey","CH","283961.0845","5043363.3577","45.5298754162","-73.7667930911"
"267","90937","Parc-école de la Passerelle","7535","Lieu public - Ville de Laval","Parc","12","8155","51e Avenue","Avenue","","51e ","H7R 4C1","4","Laval-les-Îles","17","Laval-Ouest","LO","277013.50","5044852.30","45.5430308579","-73.8558234778"
"268","897","Parc-école de la Poly-Jeunesse","2567","Lieu public - Ville de Laval","Parc","12","3578","Boulevard Sainte-Rose","Boulevard","","Sainte-Rose","H7P 4K6","5","Marc-Aurèle-Fortin","19","Fabreville","FA","280212.50","5049674.30","45.5865404152","-73.8151014312"
"269","830","Parc-école de l'Odyssée-des-Jeunes","2558","Lieu public - Ville de Laval","Parc","12","4600","Rue Cyrille-Delage","Rue","","Cyrille-Delage","H7K 2S4","6","Saint-Bruno","9","Auteuil","AU","285959.90","5052568.30","45.6127606160","-73.7415580267"
"270","831","Parc-école de l'Orée-des-Bois","5590","Lieu public - Ville de Laval","Parc","12","1130","37e Avenue","Avenue","","37e ","H7R 4W4","4","L'Orée-des-bois","18","Fabreville","FA","277953.0453","5048069.4376","45.5720160890","-73.8439688129"
"271","114296","Parc-école des Cèdres","3037","Lieu public - Ville de Laval","Parc","12","3777","Boulevard Sainte-Rose","Boulevard","","Sainte-Rose","","5","Marc-Aurèle-Fortin","19","Fabreville","FA","279645.7999","5048970.1001","45.5801836485","-73.8223276060"
"272","1829","Parc-école des Chênes","","Lieu public - Ville de Laval","Parc","12","355","Rue les Érables","Rue","les","Érables","H7R 1A3","4","Laval-les-Îles","17","Laval-sur-le-Lac","LL","275021.70","5042770.70","45.5242179464","-73.8812026034"
