"no_secteur","nom_secteur","telephone","cd_site","nom_site","descr_type_site","no_civique","nom_rue","code_postal","no_plateau","nom_plateau","capacite","descr_type_plateau","ind_sans_reserv"
"1","Secteur 1","450 662-4901","AMBS","PARC DES AMBASSADEURS","Parc","3325","AVENUE DES AMBASSADEURS","","1323","PATINOIRE EXT. HOCKEY","","Patinoire extérieure - hockey","N"
"1","Secteur 1","450 662-4901","AMBS","PARC DES AMBASSADEURS","Parc","3325","AVENUE DES AMBASSADEURS","","1347","PATINOIRE EXT. LIBRE","","Patinoire extérieure - libre","N"
"1","Secteur 1","450 662-4901","ASTF","ARÉNA ST-FRANCOIS","Aréna","9449","RUE DE TILLY","H7A3S3","127","PATINOIRE INTÉRIEURE","60","Patinoire intérieure","N"
"1","Secteur 1","450 662-4901","AYC","ARÉNA YVON-CHARTRAND","Aréna","4100","BOULEVARD DE LA CONCORDE EST","H7E2E3","179","PATINOIRE INTÉRIEURE","","Patinoire intérieure","N"
"1","Secteur 1","450 662-4901","BOI","C.C. CENTRE BOILEAU","Centre communautaire","7100","BOULEVARD DES MILLE-ÎLES","H7A4B3","133","LOCAL 202","30","Local polyvalent","N"
"1","Secteur 1","450 662-4901","BOI","C.C. CENTRE BOILEAU","Centre communautaire","7100","BOULEVARD DES MILLE-ÎLES","H7A4B3","134","LOCAL 108","210","Local polyvalent","N"
"1","Secteur 1","450 662-4901","BOI","C.C. CENTRE BOILEAU","Centre communautaire","7100","BOULEVARD DES MILLE-ÎLES","H7A4B3","135","LOCAL 109","30","Local polyvalent","N"
"1","Secteur 1","450 662-4901","BOI","C.C. CENTRE BOILEAU","Centre communautaire","7100","BOULEVARD DES MILLE-ÎLES","H7A4B3","1201","BUTEÀ GLISSER","","Autre","O"
"1","Secteur 1","450 662-4901","BOI","C.C. CENTRE BOILEAU","Centre communautaire","7100","BOULEVARD DES MILLE-ÎLES","H7A4B3","1285","LOCAL 203","30","Local polyvalent","N"
"1","Secteur 1","450 662-4901","BOI","C.C. CENTRE BOILEAU","Centre communautaire","7100","BOULEVARD DES MILLE-ÎLES","H7A4B3","1288","LOCAL 206","30","Local polyvalent","N"
