OBJECTID,ID,INDEX_PARC,NOM,ARROND,TYPE
1,003-0058,1139-000,Aire de jeu 18 mois à 5 ans,Le Plateau-Mont-Royal,Aire de jeu - enfant
2,003-0065,0900-000,Aire de jeu 18 mois à 5 ans,Le Plateau-Mont-Royal,Aire de jeu - enfant
3,003-0053,0664-000,Aire de jeu 18 mois à 5 ans,Le Plateau-Mont-Royal,Aire de jeu - enfant
4,073-0003,2812-000,Soccer à 11,Saint-Laurent,Sportif
5,003-0046,0307-000,Aire de jeu 18 mois à 5 ans,Le Plateau-Mont-Royal,Aire de jeu - enfant
6,075-0080,0922-000,Soccer à 4-5,Rivière-des-Prairies-Pointe-aux-Trembles,Sportif
7,075-0079,0922-000,Soccer à 4-5,Rivière-des-Prairies-Pointe-aux-Trembles,Sportif
8,042-0149,0961-000,Jeux d'eau,Rivière-des-Prairies-Pointe-aux-Trembles,Récréatif
9,049-0030,0699-000,Pastille - Basketball,Rivière-des-Prairies-Pointe-aux-Trembles,Récréatif
10,072-0033,0699-000,Anneau / Rond de glace,Rivière-des-Prairies-Pointe-aux-Trembles,Loisirs et détente
11,065-0017,0970-000,Patinoire 4 saisons,Rivière-des-Prairies-Pointe-aux-Trembles,Récréatif
12,003-0510,0714-000,Aire de jeu 18 mois à 5 ans,Rivière-des-Prairies-Pointe-aux-Trembles,Aire de jeu - enfant
13,032-0012,0704-000,Fer / Galet,Rivière-des-Prairies-Pointe-aux-Trembles,Loisirs et détente
14,073-0029-76-S1,0950-001,Soccer sous-terrain à 7,Villeray-Saint-Michel-Parc-Extension,Sportif
15,073-0029-76-S2,0950-001,Soccer sous-terrain à 7,Villeray-Saint-Michel-Parc-Extension,Sportif
16,073-0057-76-S1,0157-000,Soccer sous-terrain à 7,Côte-des-Neiges-Notre-Dame-de-Grâce,Sportif
17,042-0148,0976-000,Jeux d'eau,Rivière-des-Prairies-Pointe-aux-Trembles,Récréatif
18,001-0025,0976-000,Abri soleil,Rivière-des-Prairies-Pointe-aux-Trembles,Plein air
